county,month,new_cases,new_deaths
Alameda,3,269,7
Alameda,4,1330,56
Alameda,5,1763,41
Alameda,6,2705,31
Alameda,7,5374,47
Alameda,8,6707,75
Alameda,9,2929,149
Alpine,3,1,0
Alpine,4,0,0
Alpine,5,0,0
Alpine,6,0,0
Alpine,7,1,0
Alpine,8,0,0
Alpine,9,0,0
Amador,3,1,0
Amador,4,7,0
Amador,5,2,0
Amador,6,11,0
Amador,7,77,0
Amador,8,145,13
Amador,9,48,3
Butte,3,6,0
Butte,4,10,0
Butte,5,35,0
Butte,6,126,2
Butte,7,748,5
Butte,8,1144,16
Butte,9,764,21
Calaveras,3,3,0
Calaveras,4,10,0
Calaveras,5,2,0
Calaveras,6,20,0
Calaveras,7,77,1
Calaveras,8,100,1
Calaveras,9,45,12
Colusa,3,1,0
Colusa,4,2,0
Colusa,5,2,0
Colusa,6,41,0
Colusa,7,273,4
Colusa,8,124,2
Colusa,9,88,0
Contra Costa,3,246,3
Contra Costa,4,654,24
Contra Costa,5,558,10
Contra Costa,6,1759,39
Contra Costa,7,4480,43
Contra Costa,8,6205,56
Contra Costa,9,2694,31
Del Norte,3,0,0
Del Norte,4,3,0
Del Norte,5,34,0
Del Norte,6,12,0
Del Norte,7,19,0
Del Norte,8,40,1
Del Norte,9,30,0
El Dorado,3,14,0
El Dorado,4,30,0
El Dorado,5,44,0
El Dorado,6,92,0
El Dorado,7,436,1
El Dorado,8,349,1
El Dorado,9,165,2
Fresno,3,59,0
Fresno,4,503,7
Fresno,5,1218,28
Fresno,6,3231,39
Fresno,7,10072,64
Fresno,8,10102,125
Fresno,9,3256,119
Glenn,3,2,0
Glenn,4,2,0
Glenn,5,12,0
Glenn,6,89,0
Glenn,7,199,1
Glenn,8,133,2
Glenn,9,139,0
Humboldt,3,18,0
Humboldt,4,36,0
Humboldt,5,44,3
Humboldt,6,35,1
Humboldt,7,96,0
Humboldt,8,145,0
Humboldt,9,118,3
Imperial,3,17,0
Imperial,4,305,8
Imperial,5,1875,19
Imperial,6,3889,66
Imperial,7,1800,117
Imperial,8,1873,83
Imperial,9,984,24
Inyo,3,8,0
Inyo,4,12,1
Inyo,5,0,0
Inyo,6,10,0
Inyo,7,15,0
Inyo,8,115,12
Inyo,9,28,2
Kern,3,47,0
Kern,4,894,8
Kern,5,1359,30
Kern,6,2507,35
Kern,7,15254,67
Kern,8,9006,146
Kern,9,2395,83
Kings,3,2,0
Kings,4,85,1
Kings,5,616,4
Kings,6,1641,25
Kings,7,1463,26
Kings,8,2230,16
Kings,9,1604,8
Lake,3,0,0
Lake,4,6,0
Lake,5,13,0
Lake,6,49,0
Lake,7,123,1
Lake,8,150,3
Lake,9,214,7
Lassen,3,0,0
Lassen,4,0,0
Lassen,5,4,0
Lassen,6,212,0
Lassen,7,328,0
Lassen,8,162,0
Lassen,9,31,0
Los Angeles,3,3001,53
Los Angeles,4,20283,1058
Los Angeles,5,31641,1251
Los Angeles,6,48715,1007
Los Angeles,7,85048,1252
Los Angeles,8,53105,1163
Los Angeles,9,25961,730
Madera,3,17,1
Madera,4,29,1
Madera,5,55,0
Madera,6,403,3
Madera,7,1532,25
Madera,8,1626,24
Madera,9,754,11
Marin,3,85,1
Marin,4,155,12
Marin,5,246,1
Marin,6,1142,4
Marin,7,3257,52
Marin,8,1189,26
Marin,9,589,22
Mariposa,3,0,0
Mariposa,4,3,0
Mariposa,5,13,1
Mariposa,6,12,0
Mariposa,7,21,1
Mariposa,8,20,0
Mariposa,9,5,0
Mendocino,3,4,0
Mendocino,4,7,0
Mendocino,5,13,0
Mendocino,6,44,0
Mendocino,7,164,9
Mendocino,8,386,8
Mendocino,9,228,1
Merced,3,6,0
Merced,4,116,3
Merced,5,166,4
Merced,6,735,4
Merced,7,2766,39
Merced,8,4202,67
Merced,9,862,25
Modoc,4,0,0
Modoc,5,0,0
Modoc,6,0,0
Modoc,7,0,0
Modoc,8,10,0
Modoc,9,16,0
Mono,3,12,0
Mono,4,13,1
Mono,5,9,0
Mono,6,2,0
Mono,7,68,0
Mono,8,41,1
Mono,9,3,0
Monterey,3,43,2
Monterey,4,170,3
Monterey,5,332,5
Monterey,6,1142,5
Monterey,7,2806,11
Monterey,8,3346,32
Monterey,9,1885,14
Napa,3,9,0
Napa,4,60,2
Napa,5,45,1
Napa,6,231,1
Napa,7,552,4
Napa,8,537,5
Napa,9,256,0
Nevada,3,15,0
Nevada,4,26,1
Nevada,5,0,0
Nevada,6,73,0
Nevada,7,188,0
Nevada,8,145,4
Nevada,9,90,2
Orange,3,506,7
Orange,4,2085,39
Orange,5,3941,101
Orange,6,8669,193
Orange,7,20995,278
Orange,8,11196,362
Orange,9,5066,236
Placer,3,49,2
Placer,4,99,6
Placer,5,67,1
Placer,6,482,2
Placer,7,1156,4
