county,month,new_cases,new_deaths,price,unemployment_rate,population
Alameda,3,269,7,881064,0.039,1666750
Alameda,4,1330,56,881006,0.14,1666750
Alameda,5,1763,41,879054,0.137,1666750
Alameda,6,2705,31,877874,0.135,1666750
Alameda,7,5374,47,881576,0.122,1666750
Alameda,8,6707,75,890997,0.098,1666750
Alpine,3,1,0,429682,0.074,1101
Alpine,4,0,0,429366,0.216,1101
Alpine,5,0,0,428939,0.22,1101
Alpine,6,0,0,428551,0.189,1101
Alpine,7,1,0,428224,0.144,1101
Alpine,8,0,0,428056,0.112,1101
Amador,3,1,0,343133,0.055,39383
Amador,4,7,0,342489,0.144,39383
Amador,5,2,0,341605,0.153,39383
Amador,6,11,0,340593,0.127,39383
Amador,7,77,0,339405,0.119,39383
Amador,8,145,13,337535,0.093,39383
Butte,3,6,0,326937,0.068,231256
Butte,4,10,0,326141,0.155,231256
Butte,5,35,0,325956,0.133,231256
Butte,6,126,2,325746,0.122,231256
Butte,7,748,5,327220,0.112,231256
Butte,8,1144,16,329952,0.09,231256
Calaveras,3,3,0,329925,0.055,45602
Calaveras,4,10,0,332386,0.133,45602
Calaveras,5,2,0,334864,0.121,45602
Calaveras,6,20,0,336381,0.11,45602
Calaveras,7,77,1,338943,0.096,45602
Calaveras,8,100,1,342717,0.075,45602
Colusa,3,1,0,240223,0.235,21627
Colusa,4,2,0,240436,0.27,21627
Colusa,5,2,0,240667,0.206,21627
Colusa,6,41,0,240933,0.184,21627
Colusa,7,273,4,242678,0.15,21627
Colusa,8,124,2,244669,0.11,21627
Contra Costa,3,246,3,709355,0.041,1150220
Contra Costa,4,654,24,713545,0.145,1150220
Contra Costa,5,558,10,714058,0.138,1150220
Contra Costa,6,1759,39,715482,0.134,1150220
Contra Costa,7,4480,43,720368,0.122,1150220
Contra Costa,8,6205,56,731238,0.098,1150220
Del Norte,3,0,0,258604,0.078,27828
Del Norte,4,3,0,259165,0.133,27828
Del Norte,5,34,0,259518,0.132,27828
Del Norte,6,12,0,259727,0.125,27828
Del Norte,7,19,0,259758,0.115,27828
Del Norte,8,40,1,259896,0.094,27828
El Dorado,3,14,0,485283,0.047,190678
El Dorado,4,30,0,487938,0.153,190678
El Dorado,5,44,0,490221,0.151,190678
El Dorado,6,92,0,493486,0.128,190678
El Dorado,7,436,1,497980,0.103,190678
El Dorado,8,349,1,505154,0.08,190678
Fresno,3,59,0,267251,0.11,994400
Fresno,4,503,7,269209,0.169,994400
Fresno,5,1218,28,270908,0.155,994400
Fresno,6,3231,39,271942,0.145,994400
Fresno,7,10072,64,273940,0.134,994400
Fresno,8,10102,125,277022,0.109,994400
Glenn,3,2,0,239106,0.09,28047
Glenn,4,2,0,239151,0.16,28047
