county,month,labor_force,employment,unemployment,unemployment_rate
Alameda,1,841300,815500,25700,0.031
Alameda,2,840400,815400,25000,0.03
Alameda,3,835400,802700,32700,0.039
Alameda,4,804200,691200,112900,0.14
Alameda,5,803400,693400,110100,0.13699999999999998
Alameda,6,824100,713000,111100,0.135
Alameda,7,819100,719100,100000,0.122
Alameda,8,806200,727100,79200,0.098
Alpine,1,650,620,30,0.046
Alpine,2,650,610,30,0.05
Alpine,3,530,490,40,0.07400000000000001
Alpine,4,500,390,110,0.21600000000000003
Alpine,5,480,380,110,0.22
Alpine,6,490,400,90,0.18899999999999997
Alpine,7,460,400,70,0.14400000000000002
Alpine,8,460,410,50,0.11199999999999999
Amador,1,14860,14160,700,0.047
Amador,2,14860,14200,660,0.044000000000000004
Amador,3,14790,13980,810,0.055
Amador,4,14520,12430,2090,0.14400000000000002
Amador,5,14070,11910,2160,0.153
Amador,6,14460,12620,1840,0.127
Amador,7,14240,12540,1700,0.11900000000000001
Amador,8,14200,12880,1320,0.09300000000000001
Butte,1,97800,92400,5400,0.055999999999999994
Butte,2,98500,93200,5400,0.054000000000000006
Butte,3,99100,92300,6800,0.068
Butte,4,93900,79300,14600,0.155
Butte,5,91800,79600,12200,0.133
Butte,6,93700,82300,11400,0.122
Butte,7,92800,82400,10400,0.11199999999999999
Butte,8,93200,84800,8400,0.09
Calaveras,1,21560,20630,930,0.043
Calaveras,2,21610,20700,910,0.042
Calaveras,3,21510,20320,1180,0.055
Calaveras,4,20670,17930,2740,0.133
Calaveras,5,20020,17610,2410,0.121
Calaveras,6,20660,18390,2270,0.11
Calaveras,7,20630,18640,1990,0.096
Calaveras,8,20570,19020,1550,0.075
Colusa,1,10870,8790,2090,0.192
Colusa,2,11200,8990,2220,0.198
Colusa,3,11470,8780,2700,0.235
Colusa,4,10690,7810,2880,0.27
Colusa,5,10160,8070,2100,0.20600000000000002
Colusa,6,9950,8120,1830,0.184
Colusa,7,9920,8430,1490,0.15
Colusa,8,10070,8970,1100,0.11
Contra,1,559600,541600,18000,0.032
Contra,2,558800,541300,17500,0.031
Contra,3,555500,532800,22700,0.040999999999999995
Contra,4,536500,458800,77800,0.145
Contra,5,534000,460200,73900,0.138
Contra,6,546900,473500,73400,0.134
Contra,7,544200,477900,66300,0.122
Contra,8,535700,483200,52400,0.098
Del,1,9640,9010,630,0.065
Del,2,9620,9020,600,0.062
Del,3,9480,8740,740,0.078
Del,4,9610,8330,1270,0.133
Del,5,9200,7990,1210,0.132
Del,6,9320,8160,1170,0.125
Del,7,9310,8240,1070,0.115
Del,8,9370,8490,880,0.094
El,1,92200,88800,3500,0.037000000000000005
El,2,92300,88900,3400,0.037000000000000005
El,3,91700,87400,4300,0.047
El,4,89900,76200,13700,0.153
El,5,90600,76900,13700,0.151
El,6,90900,79200,11700,0.128
El,7,89400,80200,9200,0.10300000000000001
El,8,88500,81400,7100,0.08
Fresno,1,452500,415800,36600,0.081
Fresno,2,454000,415500,38500,0.085
Fresno,3,457000,406900,50200,0.11
Fresno,4,450300,374400,75900,0.16899999999999998
Fresno,5,446400,377200,69200,0.155
Fresno,6,450000,384900,65200,0.145
Fresno,7,446600,386600,60000,0.134
Fresno,8,444200,395800,48400,0.109
