,county,total_case_count,date
0,Santa Clara,151.0,3/18/2020
1,Santa Clara,183.0,3/19/2020
2,Santa Clara,246.0,3/20/2020
3,Santa Clara,269.0,3/21/2020
4,Santa Clara,284.0,3/22/2020
5,Santa Clara,336.0,3/23/2020
6,Santa Clara,389.0,3/24/2020
7,Santa Clara,452.0,3/25/2020
8,Santa Clara,487.0,3/26/2020
9,Santa Clara,557.0,3/27/2020
10,Santa Clara,587.0,3/28/2020
11,Santa Clara,591.0,3/29/2020
12,Santa Clara,745.0,3/30/2020
13,Santa Clara,777.0,3/31/2020
14,Santa Clara,805.0,4/1/2020
15,Santa Clara,908.0,4/2/2020
16,Santa Clara,983.0,4/3/2020
17,Santa Clara,1045.0,4/4/2020
18,Santa Clara,1052.0,4/5/2020
19,Santa Clara,1128.0,4/6/2020
20,Santa Clara,1193.0,4/7/2020
21,Santa Clara,1257.0,4/8/2020
22,Santa Clara,1301.0,4/9/2020
23,Santa Clara,1351.0,4/10/2020
24,Santa Clara,1441.0,4/11/2020
25,Santa Clara,1461.0,4/12/2020
26,Santa Clara,1542.0,4/13/2020
27,Santa Clara,1561.0,4/14/2020
28,Santa Clara,1692.0,4/15/2020
29,Santa Clara,1789.0,4/16/2020
30,Santa Clara,1834.0,4/17/2020
31,Santa Clara,1862.0,4/18/2020
32,Santa Clara,1878.0,4/19/2020
33,Santa Clara,1920.0,4/20/2020
34,Santa Clara,1943.0,4/21/2020
35,Santa Clara,1969.0,4/22/2020
36,Santa Clara,1996.0,4/23/2020
37,Santa Clara,2026.0,4/24/2020
38,Santa Clara,2045.0,4/25/2020
39,Santa Clara,2097.0,4/26/2020
40,Santa Clara,2104.0,4/27/2020
41,Santa Clara,2130.0,4/28/2020
42,Santa Clara,2147.0,4/29/2020
43,Santa Clara,2172.0,4/30/2020
44,Santa Clara,2176.0,5/1/2020
45,Santa Clara,2203.0,5/2/2020
46,Santa Clara,2235.0,5/3/2020
47,Santa Clara,2238.0,5/4/2020
48,Santa Clara,2249.0,5/5/2020
49,Santa Clara,2270.0,5/6/2020
50,Santa Clara,2281.0,5/7/2020
51,Santa Clara,2285.0,5/8/2020
52,Santa Clara,2317.0,5/9/2020
53,Santa Clara,2331.0,5/10/2020
54,Santa Clara,2340.0,5/11/2020
55,Santa Clara,2362.0,5/12/2020
56,Santa Clara,2370.0,5/13/2020
57,Santa Clara,2380.0,5/14/2020
58,Santa Clara,2395.0,5/15/2020
59,Santa Clara,2420.0,5/16/2020
60,Santa Clara,2453.0,5/17/2020
61,Santa Clara,2468.0,5/18/2020
62,Santa Clara,2480.0,5/19/2020
63,Santa Clara,2508.0,5/20/2020
64,Santa Clara,2520.0,5/21/2020
65,Santa Clara,2537.0,5/22/2020
66,Santa Clara,2593.0,5/23/2020
67,Santa Clara,2623.0,5/24/2020
68,Santa Clara,2647.0,5/25/2020
69,Santa Clara,2659.0,5/26/2020
70,Santa Clara,2680.0,5/27/2020
71,Santa Clara,2698.0,5/28/2020
72,Santa Clara,2707.0,5/29/2020
73,Santa Clara,2741.0,5/30/2020
74,Santa Clara,2785.0,5/31/2020
75,Santa Clara,2797.0,6/1/2020
76,Santa Clara,2819.0,6/2/2020
77,Santa Clara,2836.0,6/3/2020
78,Santa Clara,2871.0,6/4/2020
79,Santa Clara,2902.0,6/5/2020
80,Santa Clara,2934.0,6/6/2020
81,Santa Clara,2947.0,6/7/2020
82,Santa Clara,2971.0,6/8/2020
83,Santa Clara,3006.0,6/9/2020
84,Santa Clara,3032.0,6/10/2020
85,Santa Clara,3049.0,6/11/2020
86,Santa Clara,3099.0,6/12/2020
87,Santa Clara,3141.0,6/13/2020
88,Santa Clara,3178.0,6/14/2020
89,Santa Clara,3204.0,6/15/2020
90,Santa Clara,3228.0,6/16/2020
91,Santa Clara,3264.0,6/17/2020
92,Santa Clara,3338.0,6/18/2020
93,Santa Clara,3376.0,6/19/2020
94,Santa Clara,3435.0,6/20/2020
95,Santa Clara,3514.0,6/21/2020
96,Santa Clara,3580.0,6/22/2020
97,Santa Clara,3700.0,6/23/2020
98,Santa Clara,3812.0,6/24/2020
99,Santa Clara,3883.0,6/25/2020
100,Santa Clara,3985.0,6/26/2020
101,Santa Clara,4043.0,6/27/2020
102,Santa Clara,4193.0,6/28/2020
103,Santa Clara,4372.0,6/29/2020
104,Santa Clara,4476.0,6/30/2020
105,Santa Clara,4545.0,7/1/2020
106,Santa Clara,4722.0,7/2/2020
107,Santa Clara,4820.0,7/3/2020
108,Santa Clara,5045.0,7/4/2020
109,Santa Clara,5237.0,7/5/2020
110,Santa Clara,5369.0,7/6/2020
111,Santa Clara,5438.0,7/7/2020
112,Santa Clara,5510.0,7/8/2020
113,Santa Clara,5638.0,7/9/2020
114,Santa Clara,5819.0,7/10/2020
115,Santa Clara,5959.0,7/11/2020
116,Santa Clara,6252.0,7/12/2020
117,Santa Clara,6488.0,7/13/2020
118,Santa Clara,6686.0,7/14/2020
119,Santa Clara,6900.0,7/15/2020
120,Santa Clara,6990.0,7/16/2020
121,Santa Clara,7080.0,7/17/2020
122,Santa Clara,7255.0,7/18/2020
123,Santa Clara,7403.0,7/19/2020
124,Santa Clara,7711.0,7/20/2020
125,Santa Clara,7989.0,7/21/2020
126,Santa Clara,8266.0,7/22/2020
127,Santa Clara,8458.0,7/23/2020
128,Santa Clara,8658.0,7/24/2020
129,Santa Clara,8767.0,7/25/2020
130,Santa Clara,8986.0,7/26/2020
131,Santa Clara,9157.0,7/27/2020
132,Santa Clara,9307.0,7/28/2020
133,Santa Clara,9567.0,7/29/2020
134,Santa Clara,9708.0,7/30/2020
135,Santa Clara,9863.0,7/31/2020
136,Santa Clara,10281.0,8/1/2020
137,Santa Clara,10577.0,8/2/2020
138,Santa Clara,10747.0,8/3/2020
139,Santa Clara,10986.0,8/4/2020
140,Santa Clara,11074.0,8/5/2020
141,Santa Clara,11280.0,8/6/2020
142,Santa Clara,11409.0,8/7/2020
143,Santa Clara,11615.0,8/8/2020
144,Santa Clara,11878.0,8/9/2020
145,Santa Clara,12615.0,8/10/2020
146,Santa Clara,12920.0,8/11/2020
147,Santa Clara,13002.0,8/12/2020
148,Santa Clara,13257.0,8/13/2020
149,Santa Clara,13785.0,8/14/2020
150,Santa Clara,14105.0,8/15/2020
151,Santa Clara,14329.0,8/16/2020
152,Santa Clara,14546.0,8/17/2020
153,Santa Clara,14786.0,8/18/2020
154,Santa Clara,14994.0,8/19/2020
155,Santa Clara,15162.0,8/20/2020
156,Santa Clara,15399.0,8/21/2020
157,Santa Clara,15590.0,8/22/2020
158,Santa Clara,15912.0,8/23/2020
159,Santa Clara,16049.0,8/24/2020
160,Santa Clara,16199.0,8/25/2020
161,Santa Clara,16283.0,8/26/2020
162,Santa Clara,16495.0,8/27/2020
163,Santa Clara,16696.0,8/28/2020
164,Santa Clara,16898.0,8/29/2020
165,Santa Clara,17045.0,8/30/2020
166,Santa Clara,17211.0,8/31/2020
167,Santa Clara,17319.0,9/1/2020
168,Santa Clara,17673.0,9/2/2020
169,Santa Clara,17879.0,9/3/2020
170,Santa Clara,18074.0,9/4/2020
171,Santa Clara,18311.0,9/5/2020
172,Santa Clara,18495.0,9/6/2020
173,Santa Clara,18596.0,9/7/2020
174,Santa Clara,18645.0,9/8/2020
175,Santa Clara,18759.0,9/9/2020
176,Santa Clara,18870.0,9/10/2020
177,Santa Clara,19065.0,9/11/2020
178,Santa Clara,19330.0,9/12/2020
179,Santa Clara,19456.0,9/13/2020
180,Santa Clara,19545.0,9/14/2020
181,Santa Clara,19610.0,9/15/2020
182,Santa Clara,19684.0,9/16/2020
183,Santa Clara,19825.0,9/17/2020
184,Santa Clara,20058.0,9/18/2020
185,Santa Clara,20170.0,9/19/2020
186,Santa Clara,20330.0,9/20/2020
187,Santa Clara,20432.0,9/21/2020
188,Santa Clara,20514.0,9/22/2020
189,Santa Clara,20575.0,9/23/2020
190,Santa Clara,20689.0,9/24/2020
191,Santa Clara,20812.0,9/25/2020
192,Santa Clara,20967.0,9/26/2020
193,Santa Clara,21091.0,9/27/2020
194,San Mateo,57.0,3/18/2020
195,San Mateo,58.0,3/19/2020
196,San Mateo,71.0,3/20/2020
197,San Mateo,78.0,3/21/2020
198,San Mateo,82.0,3/22/2020
199,San Mateo,88.0,3/23/2020
200,San Mateo,100.0,3/24/2020
201,San Mateo,111.0,3/25/2020
202,San Mateo,122.0,3/26/2020
203,San Mateo,213.0,3/27/2020
204,San Mateo,231.0,3/28/2020
205,San Mateo,234.0,3/29/2020
206,San Mateo,257.0,3/30/2020
207,San Mateo,297.0,3/31/2020
208,San Mateo,354.0,4/1/2020
209,San Mateo,423.0,4/2/2020
210,San Mateo,474.0,4/3/2020
211,San Mateo,520.0,4/4/2020
212,San Mateo,528.0,4/5/2020
213,San Mateo,569.0,4/6/2020
214,San Mateo,573.0,4/7/2020
215,San Mateo,608.0,4/8/2020
216,San Mateo,630.0,4/9/2020
217,San Mateo,642.0,4/10/2020
218,San Mateo,662.0,4/11/2020
219,San Mateo,664.0,4/12/2020
220,San Mateo,679.0,4/13/2020
221,San Mateo,681.0,4/14/2020
222,San Mateo,707.0,4/15/2020
223,San Mateo,745.0,4/16/2020
224,San Mateo,768.0,4/17/2020
225,San Mateo,821.0,4/18/2020
226,San Mateo,845.0,4/19/2020
227,San Mateo,890.0,4/20/2020
228,San Mateo,933.0,4/21/2020
229,San Mateo,945.0,4/22/2020
230,San Mateo,970.0,4/23/2020
231,San Mateo,1004.0,4/24/2020
232,San Mateo,1054.0,4/25/2020
233,San Mateo,1070.0,4/26/2020
234,San Mateo,1092.0,4/27/2020
235,San Mateo,1129.0,4/28/2020
