,County,State,Date,Price
0,Los Angeles County,CA,2/29/2020,648559
1,San Diego County,CA,2/29/2020,622347
2,Orange County,CA,2/29/2020,756030
3,Riverside County,CA,2/29/2020,399386
4,San Bernardino County,CA,2/29/2020,364813
5,Santa Clara County,CA,2/29/2020,1151196
6,Alameda County,CA,2/29/2020,877331
7,Sacramento County,CA,2/29/2020,392257
8,Contra Costa County,CA,2/29/2020,707565
9,Fresno County,CA,2/29/2020,265778
10,Kern County,CA,2/29/2020,231603
11,Ventura County,CA,2/29/2020,611827
12,San Francisco County,CA,2/29/2020,1440901
13,San Mateo County,CA,2/29/2020,1389715
14,San Joaquin County,CA,2/29/2020,384497
15,Stanislaus County,CA,2/29/2020,330957
16,Sonoma County,CA,2/29/2020,658258
17,Tulare County,CA,2/29/2020,224023
18,Santa Barbara County,CA,2/29/2020,647458
19,Monterey County,CA,2/29/2020,593625
20,Solano County,CA,2/29/2020,460404
21,Placer County,CA,2/29/2020,517122
22,San Luis Obispo County,CA,2/29/2020,628403
23,Santa Cruz County,CA,2/29/2020,835807
24,Merced County,CA,2/29/2020,280456
25,Marin County,CA,2/29/2020,1148019
26,Butte County,CA,2/29/2020,329113
27,Yolo County,CA,2/29/2020,469364
28,El Dorado County,CA,2/29/2020,484138
29,Shasta County,CA,2/29/2020,275840
30,Imperial County,CA,2/29/2020,242600
31,Kings County,CA,2/29/2020,232744
32,Madera County,CA,2/29/2020,274300
33,Napa County,CA,2/29/2020,687706
34,Humboldt County,CA,2/29/2020,325276
35,Nevada County,CA,2/29/2020,474067
36,Sutter County,CA,2/29/2020,320511
37,Mendocino County,CA,2/29/2020,393869
38,Yuba County,CA,2/29/2020,290395
39,Lake County,CA,2/29/2020,253315
40,Tehama County,CA,2/29/2020,236849
41,Tuolumne County,CA,2/29/2020,296106
42,San Benito County,CA,2/29/2020,638709
43,Calaveras County,CA,2/29/2020,328446
44,Siskiyou County,CA,2/29/2020,216615
45,Amador County,CA,2/29/2020,343280
46,Lassen County,CA,2/29/2020,173668
47,Del Norte County,CA,2/29/2020,257934
48,Glenn County,CA,2/29/2020,238587
49,Colusa County,CA,2/29/2020,240312
50,Plumas County,CA,2/29/2020,278682
51,Inyo County,CA,2/29/2020,355773
52,Mariposa County,CA,2/29/2020,295929
53,Mono County,CA,2/29/2020,465740
54,Trinity County,CA,2/29/2020,278697
55,Modoc County,CA,2/29/2020,130581
56,Sierra County,CA,2/29/2020,241664
57,Alpine County,CA,2/29/2020,429727
58,Los Angeles County,CA,3/31/2020,653908
59,San Diego County,CA,3/31/2020,626600
60,Orange County,CA,3/31/2020,760912
61,Riverside County,CA,3/31/2020,400102
62,San Bernardino County,CA,3/31/2020,367028
63,Santa Clara County,CA,3/31/2020,1164290
64,Alameda County,CA,3/31/2020,881064
65,Sacramento County,CA,3/31/2020,395515
66,Contra Costa County,CA,3/31/2020,709355
67,Fresno County,CA,3/31/2020,267251
68,Kern County,CA,3/31/2020,233343
69,Ventura County,CA,3/31/2020,612419
70,San Francisco County,CA,3/31/2020,1439253
71,San Mateo County,CA,3/31/2020,1398185
72,San Joaquin County,CA,3/31/2020,385937
73,Stanislaus County,CA,3/31/2020,333104
74,Sonoma County,CA,3/31/2020,660048
75,Tulare County,CA,3/31/2020,225652
76,Santa Barbara County,CA,3/31/2020,651125
77,Monterey County,CA,3/31/2020,596305
78,Solano County,CA,3/31/2020,462513
79,Placer County,CA,3/31/2020,519169
80,San Luis Obispo County,CA,3/31/2020,630422
81,Santa Cruz County,CA,3/31/2020,841515
82,Merced County,CA,3/31/2020,282837
83,Marin County,CA,3/31/2020,1155208
84,Butte County,CA,3/31/2020,326937
85,Yolo County,CA,3/31/2020,471517
86,El Dorado County,CA,3/31/2020,485283
87,Shasta County,CA,3/31/2020,276438
88,Imperial County,CA,3/31/2020,244803
89,Kings County,CA,3/31/2020,235126
90,Madera County,CA,3/31/2020,276121
91,Napa County,CA,3/31/2020,689546
92,Humboldt County,CA,3/31/2020,325442
93,Nevada County,CA,3/31/2020,474007
94,Sutter County,CA,3/31/2020,322652
95,Mendocino County,CA,3/31/2020,396641
96,Yuba County,CA,3/31/2020,292234
97,Lake County,CA,3/31/2020,254784
98,Tehama County,CA,3/31/2020,237849
99,Tuolumne County,CA,3/31/2020,294515
100,San Benito County,CA,3/31/2020,643500
101,Calaveras County,CA,3/31/2020,329925
102,Siskiyou County,CA,3/31/2020,216580
103,Amador County,CA,3/31/2020,343133
104,Lassen County,CA,3/31/2020,174135
105,Del Norte County,CA,3/31/2020,258604
106,Glenn County,CA,3/31/2020,239106
107,Colusa County,CA,3/31/2020,240223
108,Plumas County,CA,3/31/2020,278524
109,Inyo County,CA,3/31/2020,356253
110,Mariposa County,CA,3/31/2020,296051
111,Mono County,CA,3/31/2020,466709
112,Trinity County,CA,3/31/2020,278827
113,Modoc County,CA,3/31/2020,130275
114,Sierra County,CA,3/31/2020,241652
115,Alpine County,CA,3/31/2020,429682
116,Los Angeles County,CA,4/30/2020,658518
117,San Diego County,CA,4/30/2020,629514
118,Orange County,CA,4/30/2020,764278
119,Riverside County,CA,4/30/2020,402010
120,San Bernardino County,CA,4/30/2020,369653
121,Santa Clara County,CA,4/30/2020,1171084
122,Alameda County,CA,4/30/2020,881006
123,Sacramento County,CA,4/30/2020,397844
124,Contra Costa County,CA,4/30/2020,713545
125,Fresno County,CA,4/30/2020,269209
126,Kern County,CA,4/30/2020,235196
127,Ventura County,CA,4/30/2020,613582
128,San Francisco County,CA,4/30/2020,1440106
129,San Mateo County,CA,4/30/2020,1395431
130,San Joaquin County,CA,4/30/2020,388384
131,Stanislaus County,CA,4/30/2020,334509
132,Sonoma County,CA,4/30/2020,658932
133,Tulare County,CA,4/30/2020,227600
134,Santa Barbara County,CA,4/30/2020,656568
135,Monterey County,CA,4/30/2020,598475
136,Solano County,CA,4/30/2020,463124
137,Placer County,CA,4/30/2020,521062
138,San Luis Obispo County,CA,4/30/2020,632797
139,Santa Cruz County,CA,4/30/2020,844090
140,Merced County,CA,4/30/2020,283949
141,Marin County,CA,4/30/2020,1163019
142,Butte County,CA,4/30/2020,326141
143,Yolo County,CA,4/30/2020,470927
144,El Dorado County,CA,4/30/2020,487938
145,Shasta County,CA,4/30/2020,277990
146,Imperial County,CA,4/30/2020,245321
147,Kings County,CA,4/30/2020,237691
148,Madera County,CA,4/30/2020,277765
149,Napa County,CA,4/30/2020,693385
150,Humboldt County,CA,4/30/2020,325818
151,Nevada County,CA,4/30/2020,472984
152,Sutter County,CA,4/30/2020,325106
153,Mendocino County,CA,4/30/2020,398353
154,Yuba County,CA,4/30/2020,293667
155,Lake County,CA,4/30/2020,256900
156,Tehama County,CA,4/30/2020,238458
157,Tuolumne County,CA,4/30/2020,293022
158,San Benito County,CA,4/30/2020,641025
159,Calaveras County,CA,4/30/2020,332386
160,Siskiyou County,CA,4/30/2020,216517
161,Amador County,CA,4/30/2020,342489
162,Lassen County,CA,4/30/2020,174458
163,Del Norte County,CA,4/30/2020,259165
164,Glenn County,CA,4/30/2020,239151
165,Colusa County,CA,4/30/2020,240436
166,Plumas County,CA,4/30/2020,278518
167,Inyo County,CA,4/30/2020,356775
168,Mariposa County,CA,4/30/2020,295998
169,Mono County,CA,4/30/2020,467230
170,Trinity County,CA,4/30/2020,278523
171,Modoc County,CA,4/30/2020,129927
172,Sierra County,CA,4/30/2020,241489
173,Alpine County,CA,4/30/2020,429366
174,Los Angeles County,CA,5/31/2020,660247
175,San Diego County,CA,5/31/2020,633148
176,Orange County,CA,5/31/2020,765411
177,Riverside County,CA,5/31/2020,404565
178,San Bernardino County,CA,5/31/2020,370722
179,Santa Clara County,CA,5/31/2020,1176628
180,Alameda County,CA,5/31/2020,879054
181,Sacramento County,CA,5/31/2020,399067
182,Contra Costa County,CA,5/31/2020,714058
183,Fresno County,CA,5/31/2020,270908
184,Kern County,CA,5/31/2020,236252
185,Ventura County,CA,5/31/2020,615640
186,San Francisco County,CA,5/31/2020,1433474
187,San Mateo County,CA,5/31/2020,1384869
188,San Joaquin County,CA,5/31/2020,389576
189,Stanislaus County,CA,5/31/2020,337503
190,Sonoma County,CA,5/31/2020,656157
191,Tulare County,CA,5/31/2020,229101
192,Santa Barbara County,CA,5/31/2020,661520
193,Monterey County,CA,5/31/2020,603522
194,Solano County,CA,5/31/2020,464220
195,Placer County,CA,5/31/2020,521654
196,San Luis Obispo County,CA,5/31/2020,632094
197,Santa Cruz County,CA,5/31/2020,846648
198,Merced County,CA,5/31/2020,283974
199,Marin County,CA,5/31/2020,1168348
200,Butte County,CA,5/31/2020,325956
201,Yolo County,CA,5/31/2020,470356
202,El Dorado County,CA,5/31/2020,490221
203,Shasta County,CA,5/31/2020,279123
204,Imperial County,CA,5/31/2020,245625
205,Kings County,CA,5/31/2020,239320
206,Madera County,CA,5/31/2020,279029
207,Napa County,CA,5/31/2020,697741
208,Humboldt County,CA,5/31/2020,327266
209,Nevada County,CA,5/31/2020,473570
210,Sutter County,CA,5/31/2020,327777
211,Mendocino County,CA,5/31/2020,401210
212,Yuba County,CA,5/31/2020,295073
213,Lake County,CA,5/31/2020,258597
214,Tehama County,CA,5/31/2020,239634
215,Tuolumne County,CA,5/31/2020,292241
216,San Benito County,CA,5/31/2020,638756
217,Calaveras County,CA,5/31/2020,334864
218,Siskiyou County,CA,5/31/2020,216422
219,Amador County,CA,5/31/2020,341605
220,Lassen County,CA,5/31/2020,174558
221,Del Norte County,CA,5/31/2020,259518
222,Glenn County,CA,5/31/2020,239273
223,Colusa County,CA,5/31/2020,240667
224,Plumas County,CA,5/31/2020,278418
225,Inyo County,CA,5/31/2020,356664
226,Mariposa County,CA,5/31/2020,295796
227,Mono County,CA,5/31/2020,467555
228,Trinity County,CA,5/31/2020,278382
229,Modoc County,CA,5/31/2020,129660
230,Sierra County,CA,5/31/2020,241623
231,Alpine County,CA,5/31/2020,428939
232,Los Angeles County,CA,6/30/2020,661463
233,San Diego County,CA,6/30/2020,635417
234,Orange County,CA,6/30/2020,766346
235,Riverside County,CA,6/30/2020,407123
236,San Bernardino County,CA,6/30/2020,372515
237,Santa Clara County,CA,6/30/2020,1186198
238,Alameda County,CA,6/30/2020,877874
239,Sacramento County,CA,6/30/2020,399680
240,Contra Costa County,CA,6/30/2020,715482
241,Fresno County,CA,6/30/2020,271942
242,Kern County,CA,6/30/2020,237146
243,Ventura County,CA,6/30/2020,617934
244,San Francisco County,CA,6/30/2020,1425660
245,San Mateo County,CA,6/30/2020,1376833
246,San Joaquin County,CA,6/30/2020,390062
247,Stanislaus County,CA,6/30/2020,340197
248,Sonoma County,CA,6/30/2020,652802
249,Tulare County,CA,6/30/2020,231204
250,Santa Barbara County,CA,6/30/2020,663913
251,Monterey County,CA,6/30/2020,607930
252,Solano County,CA,6/30/2020,464741
253,Placer County,CA,6/30/2020,523559
254,San Luis Obispo County,CA,6/30/2020,633522
255,Santa Cruz County,CA,6/30/2020,849202
256,Merced County,CA,6/30/2020,284763
257,Marin County,CA,6/30/2020,1178070
258,Butte County,CA,6/30/2020,325746
259,Yolo County,CA,6/30/2020,470936
260,El Dorado County,CA,6/30/2020,493486
261,Shasta County,CA,6/30/2020,279696
262,Imperial County,CA,6/30/2020,246603
263,Kings County,CA,6/30/2020,240965
264,Madera County,CA,6/30/2020,280505
265,Napa County,CA,6/30/2020,701412
266,Humboldt County,CA,6/30/2020,329325
267,Nevada County,CA,6/30/2020,477542
268,Sutter County,CA,6/30/2020,328871
269,Mendocino County,CA,6/30/2020,404811
270,Yuba County,CA,6/30/2020,296192
